Z,P,T
0,1012.999,294.2
0.499,955.998,291.95
0.501,955.776,291.95
1,901.996,289.7
2,802.001,285.2
3,709.996,279.2
4,628,273.2
5,553.997,267.2
6,486.998,261.2
7,426,254.7
8,371.999,248.2
9,323.999,241.7
10,280.999,235.3
11,243,228.8
12,208.999,222.3
13,179.001,215.8
14,153,215.7
15,129.999,215.7
16,111,215.7
17,95,215.7
18,81.2,216.8
19,69.5,217.9
20,59.5,219.2
21,51,220.4
22,43.7,221.6
23,37.6,222.8
24,32.2,223.9
25,27.7,225.1
27.5,19.07,228.45
30,13.2,233.7
32.5,9.299959,239
35,6.519971,245.2
37.5,4.63998,251.3
40,3.329993,257.5
42.5,2.410008,263.7
45,1.759993,269.9
47.5,1.289997,275.2
50,0.951001,275.7
55,0.514999,269.3
60,0.272001,257.1
65,0.139,240.1
70,0.067,218.1
75,0.03,196.1
80,0.012,174.1
85,0.00448,165.1
90,0.00164,165
95,0.000625,178.3
100,0.000258,190.5
105,0.000117,222.2
110,0.000061,262.4
115,0.000036,316.8
120,0.000023,380